"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Alt attribute"	"Is source canonical"	"Is source noindex"	"Is link internal"
"Image"	"false"	"https://cindemirlaw.com/cindemir-law-2/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D1%82%D0%B8%D0%BF%D1%8B-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbefde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/services/?lang=zh-hans"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/electric-distribution-and-transmission-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/hakan-cindemir/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/airport-detention-in-turkey-legal-risks-for-foreign-travellers-and-how-to-respond/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/liaison-offices-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-ukraine-judgment-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/our-articles-2/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
