"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Is indexable page"	"Hreflang links"	"Hreflang links codes"	"Hreflang issues"	"Hreflang group ID"	"No. of hreflang inlinks"	"No. of all inlinks"
"70"	"https://cindemirlaw.com/"	"Law Firms in Istanbul - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"true"	"https://cindemirlaw.com/
https://cindemirlaw.com/
https://cindemirlaw.com/?lang=ru
https://cindemirlaw.com/?lang=zh-hans"	"200
200
200
200"	"Some pages are not canonical"	"5495530589468432276"	"4"	"885"
"57"	"https://cindemirlaw.com/contacts/"	"Contact Legal Lawyers in Istanbul | Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"true"	"https://cindemirlaw.com/contacts/
https://cindemirlaw.com/contacts/
https://cindemirlaw.com/contacts/?lang=ru
https://cindemirlaw.com/contacts/?lang=zh-hans"	"200
200
200
200"	"Some pages are not canonical"	"16141130656414326576"	"4"	"298"
"50"	"https://cindemirlaw.com/?lang=ru"	"домашняя страница"	"text/html; charset=utf-8"	"false"	"200"	"0"	"true"	"https://cindemirlaw.com/
https://cindemirlaw.com/
https://cindemirlaw.com/?lang=ru
https://cindemirlaw.com/?lang=zh-hans"	"200
200
200
200"	"Some pages are not canonical"	"5495530589468432276"	"2"	"2"
"20"	"https://cindemirlaw.com/contacts/?lang=ru"	"Cindemir law Office, maltepe ,istanbul"	"text/html; charset=utf-8"	"false"	"200"	"0"	"true"	"https://cindemirlaw.com/contacts/
https://cindemirlaw.com/contacts/
https://cindemirlaw.com/contacts/?lang=ru
https://cindemirlaw.com/contacts/?lang=zh-hans"	"200
200
200
200"	"Some pages are not canonical"	"16141130656414326576"	"2"	"2"
