"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Internal outlinks to 4xx"	"Internal outlinks codes (4xx)"	"No. of internal outlinks to 4xx"	"External outlinks to 4xx"	"External outlinks codes (4xx)"	"No. of external outlinks to 4xx"
"20"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law-2-2/?lang=zh-hans"	"Gökhan Cindemir , Attorney At Law - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"1"	"https://cindemirlaw.com/chinese/wp-content/uploads/2014/11/white-1-copy.jpg"	"404"	"1"	"https://www.barobirlik.org.tr/"	"403"	"1"
"20"	"https://cindemirlaw.com/hakan/?lang=zh-hans"	"在LinkedInHakan查看Hakan Cindemir的资料。Cindemir，律师，律师事务所资深律师 - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"1"	"https://cindemirlaw.com/chinese/wp-content/uploads/2014/11/white-2-copy.jpg"	"404"	"1"	"https://www.barobirlik.org.tr/"	"403"	"1"
