"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Anchor"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbafde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	""	"Турция"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/gokhan-cindemir-3/"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	""	"admin"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/intentional-injury-resulting-in-death-under-turkish-criminal-law/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/unfair-competition-in-turkey-understanding-the-issues-and-finding-solutions/"	"200"	"https://cindemirlaw.com/free-trade-zone-company-in-turkey/"	"200"	""	"Turkish Commercial Code"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/offences-of-bodily-harm-under-turkish-law/"	"200"	"https://cindemirlaw.com/plastic-surgery-malpractice-in-turkish-law/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/how-to-establish-a-limited-partnership-in-turkey/"	"200"	"https://cindemirlaw.com/press/"	"301"	""	"Press"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/training/"	"200"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	""	"legal"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/airport-customs-seizures-and-smuggling-offences-under-turkish-law/"	"200"	"https://cindemirlaw.com/how-to-apply-to-the-european-court-of-human-rights-echr-legal-conditions-and-procedure/"	"200"	""	"Türkiye"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/regulatory-landscape-for-crypto-asset-trading-platforms-in-turkey/"	"200"	"https://cindemirlaw.com/eu-ai-act-prohibited-practices-and-compliance-obligations/"	"200"	""	"Compliance"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/cisg-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BA%D1%83%D0%BF%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6/"	"200"	"https://cindemirlaw.com/finding-a-nominee-director-in-turkey/"	"200"	""	"Cindemir Law Office"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/criminal-law/"	"200"	"https://cindemirlaw.com/about-us/"	"200"	""	"About Us"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/testamentary-disposition-and-testaments-in-turkish-inheritance-law/"	"200"	"https://cindemirlaw.com/foreigners-and-international-protection-in-turkey/"	"200"	""	"Lawyer"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law/"	"200"	"https://cindemirlaw.com/international-apostille-services-in-turkey/"	"200"	""	"Turkey"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/insurance-arbitration-and-compensation-claims-regarding-car-accidents-in-turkey/"	"200"	"https://cindemirlaw.com/humanitarian-residence-permit-application-in-turkey/"	"200"	""	"application"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/understanding-the-role-and-responsibilities-of-a-commercial-agent/"	"200"	"https://cindemirlaw.com/compensation-of-damages-for-foreign-victims-due-to-terror-under-turkish-law/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/due-dilligence/"	"200"	"https://cindemirlaw.com/energy-law-and-investment/"	"200"	""	"Link to: Energy Law and Investment"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/european-law-rights-concerning-ankara-agreement/"	"200"	"https://www.facebook.com/p/Cindemir-Hukuk-B%C3%BCrosu-Cindemir-Law-Office-100066585793269/?locale=tr_TR"	""	"Restricted domain"	"Link to Facebook"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/sales-of-real-estate-to-foreigners-in-turkey/"	"200"	"https://cindemirlaw.com/press/"	"301"	""	"Press"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/privacy-policy/"	"200"	"https://cindemirlaw.com/family-heritage/"	"200"	""	"Family Heritage"	"true"	"false"	"true"	"false"	"false"
