"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Anchor"	"Alt attribute"	"Hreflang attribute"	"Is source canonical"	"Is source noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-3/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb3fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	"Link to: Гокхан Синдемир, Адокат в суде"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/legal-services-in-sapanca/"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	"admin"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%B7%D0%B0%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B2-%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82%D1%83-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	"огнестрельное оружие"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-3/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd81fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-3/"	"301"	""	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/unfair-competition-in-turkey-understanding-the-issues-and-finding-solutions/"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	"admin"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/gokhan-cindemir/"	"200"	"https://cindemirlaw.com/cindemir-hukuk-burosu-cindemir-law-office-kusdili-caddesi-osmanaga-mahallesi-artunc-apartmani-no173-34714-kadikoy-istanbul/"	"301"	"Link to: G鰇han Cindemir"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D1%8C-%D0%BF%D1%80%D0%B8-%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B5-%D0%B2%D0%B5%D1%89%D0%B5/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb3fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	"Адвокат"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/notice-of-termination-for-employment-contracts-in-turkish-labor-law/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/legal-status-of-late-registered-turkish-citizens-concerning-military-service-obligations-under-law-no-7179/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
