"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Alt attribute"	"Is source canonical"	"Is source noindex"
"Image"	"false"	"https://cindemirlaw.com/%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D0%B5-%D0%B1%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%81%D1%87%D0%B5%D1%82%D0%B0-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/white-5-copy-300x300.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/electric-distribution-and-transmission-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/link13/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/cindemir-hukuk/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law-2-2/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/"	"200"	"https://cindemirlaw.com/russian/wp-content/uploads/2014/11/white-5-copy-150x150.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/family-heritage/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2023/11/2e20a321-6694-44e0-ae3e-8a1a551ccdbb-300x171.webp"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-uk-judgments-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/09/Gokhan_Cindemir_AttorneyAtLaw2.jpg"	"200"	""	""	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D0%BF%D1%80%D0%B0%D0%B2%D0%B0-%D0%B8-%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/white-5-copy-300x300.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/hakan/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/car-accident-in-turkey-and-legal-compensation-issues/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/interim-injunctions-in-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/09/Hakan_Cindemir_AttorneyatLaw1.jpg"	"200"	""	""	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-iran-judgment-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-us-judgments-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/link25/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/deportation-law-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/white3-copy-300x300.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/the-scope-of-turkish-labor-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/team/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/icsid/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/paternity-suit-in-turkey-under-turkish-family-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/compensation-of-damages-for-foreign-victims-due-to-terror-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/turkish-procedural-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/link15/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-decision-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/team/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/white-5-copy-300x300.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/link11/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/plastic-surgery-malpractice-in-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-icsid-awards-in-turkey-the-light-of-last-developments/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/about-us/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/540664430-300x200.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/narcotic-crimes-drugs-and-cordials-in-turkish-penal-code/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/to-file-a-case-in-turkey-petition/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/notice-of-termination-for-employment-contracts-in-turkish-labor-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-ukraine-judgment-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/direct-foreign-invesment-law-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/hakan/?lang=zh-hans"	"200"	"https://cindemirlaw.com/chinese/wp-content/uploads/2014/11/white-2-copy-150x150.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/methods-of-debt-collection-in-the-light-of-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/wrongful-death-claim-in-turkey-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/proving-the-damage-of-a-victim-by-forensic-hospitals-under-malpractice-law-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-romania-judgment-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg"	"200"	""	""	"true"	"false"
"Image"	"false"	"https://cindemirlaw.com/articles/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/10/footlaw_banner.jpg"	"200"	""	""	"true"	"false"
