"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Alt attribute"	"Is source canonical"	"Is source noindex"	"Is link self-referencing"
"Image"	"false"	"https://cindemirlaw.com/intentional-killing-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png"	"200"	""	"English"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/legal-affidavit-preparation-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/new-spk-decision-on-crypto-assets-a-comprehensive-overview-of-regulatory-amendments/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/electric-distribution-and-transmission-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/our-articles/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/link25/?lang=zh-hans"	"200"	"https://cindemirlaw.com/wp-content/themes/enfold/images/layout/logo.png"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb4fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/wp-content/themes/enfold/images/layout/logo.png"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-chinese-foreign-judgment-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png"	"200"	""	"English"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/labor-contract-termination-with-just-cause/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png"	"200"	""	"English"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/nominee-directory-services-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
